timestamp,yes_price,no_price,best_bid,best_ask,spread,volume_24h
2024-01-01T00:00:00,0.5806,0.4194,0.5766,0.5847,0.0081,9085.65
2024-01-01T00:00:30,0.5821,0.4179,0.5747,0.5896,0.0149,5739.96
2024-01-01T00:01:00,0.5831,0.4169,0.5718,0.5945,0.0227,5597.53
2024-01-01T00:01:30,0.5801,0.4199,0.5712,0.5891,0.0179,8904.48
2024-01-01T00:02:00,0.5792,0.4208,0.5765,0.5819,0.0053,7796.12
2024-01-01T00:02:30,0.5773,0.4227,0.5734,0.5811,0.0078,9350.65
2024-01-01T00:03:00,0.5771,0.4229,0.569,0.5853,0.0163,6721.46
2024-01-01T00:03:30,0.5812,0.4188,0.5726,0.5898,0.0173,5287.72
2024-01-01T00:04:00,0.5825,0.4175,0.5759,0.5892,0.0134,6187.17
2024-01-01T00:04:30,0.5818,0.4182,0.572,0.5917,0.0197,8256.75
2024-01-01T00:05:00,0.5857,0.4143,0.5809,0.5906,0.0097,9701.76
2024-01-01T00:05:30,0.5824,0.4176,0.5795,0.5852,0.0057,10676.78
2024-01-01T00:06:00,0.5774,0.4226,0.5698,0.5851,0.0153,6154.14
2024-01-01T00:06:30,0.5812,0.4188,0.5734,0.589,0.0156,5392.64
2024-01-01T00:07:00,0.5767,0.4233,0.5682,0.5853,0.0171,9095.81
2024-01-01T00:07:30,0.5821,0.4179,0.5708,0.5935,0.0227,7009.22
2024-01-01T00:08:00,0.5852,0.4148,0.5771,0.5933,0.0162,7828.42
2024-01-01T00:08:30,0.5806,0.4194,0.5763,0.5849,0.0086,5341.33
2024-01-01T00:09:00,0.5822,0.4178,0.5788,0.5856,0.0068,9471.53
2024-01-01T00:09:30,0.5811,0.4189,0.57,0.5921,0.0221,8133.55
2024-01-01T00:10:00,0.5781,0.4219,0.5709,0.5854,0.0145,9261.58
2024-01-01T00:10:30,0.5751,0.4249,0.5669,0.5834,0.0165,6964.54
